relationshipType
CURRENT_ADDRESS
HAS_PHONE
HAS_EMAIL
HAS_POSTCODE
POSTCODE_IN_AREA
LOCATION_IN_AREA
KNOWS_SN
KNOWS
CALLER
CALLED
KNOWS_PHONE
OCCURRED_AT
INVESTIGATED_BY
INVOLVED_IN
PARTY_TO
FAMILY_REL
KNOWS_LW
